"Polygon Name","Polygon Area","Algo Name","Time (ms)"\n"Hand drawn around Wilmington","1.8568230076630947E10","Baseline","6858"
"Hand drawn around Wilmington","1.8568230076630947E10","Marching: 32 x 32","9797"
"Hand drawn around Wilmington","1.8568230076630947E10","Marching: 128 x 128","5783"
"From example MapshedJob_NHD","3.261282488501819E7","Baseline","376"
"From example MapshedJob_NHD","3.261282488501819E7","Marching: 32 x 32","951"
"From example MapshedJob_NHD","3.261282488501819E7","Marching: 128 x 128","420"
"Pennsylvania","1.1734261385361212E11","Baseline","26985"
"Pennsylvania","1.1734261385361212E11","Marching: 32 x 32","27066"
"Pennsylvania","1.1734261385361212E11","Marching: 128 x 128","6636"
